,0
0,3.0
1,3.0
2,3.5
3,4.0
4,4.5
5,2.5
6,2.5
7,4.0
8,5.5
9,5.0
10,3.0
11,5.5
12,8.0
13,3.0
14,3.0
15,2.0
16,5.0
17,3.5
18,4.5
19,4.5
20,3.5
21,12.0
22,3.0
23,3.5
24,3.0
25,3.5
26,2.5
27,3.5
28,5.0
29,5.5
30,6.0
31,4.5
32,6.5
33,2.5
34,12.0
35,12.0
36,12.0
37,3.5
38,6.0
39,5.5
40,6.5
41,2.5
42,6.5
43,5.0
44,3.0
45,2.5
46,3.5
47,9.0
48,5.0
49,7.5
50,4.0
51,3.5
52,3.0
53,4.5
54,12.0
55,4.5
56,3.0
57,3.0
58,1.5
59,4.5
60,3.0
61,1.5
62,10.5
63,5.0
64,5.0
65,1.0
66,3.5
67,1.0
68,5.0
69,4.0
70,12.0
71,5.5
72,4.5
73,4.5
74,4.5
75,4.0
76,4.0
77,3.5
78,5.0
79,12.0
80,5.5
81,9.5
82,5.0
83,6.0
84,3.0
85,3.5
86,5.0
87,12.0
88,1.5
89,3.5
90,6.5
91,4.5
92,4.0
93,3.0
94,4.0
95,5.0
96,3.5
97,3.0
98,4.0
99,3.5
100,12.0
101,9.5
102,3.0
103,5.5
104,1.5
105,6.0
106,4.5
107,3.0
108,3.0
109,12.0
110,3.0
111,3.0
112,2.0
113,3.5
114,2.0
115,12.0
116,3.5
117,6.5
118,3.0
119,4.5
120,2.0
121,6.0
122,3.0
123,8.0
124,4.5
125,3.5
126,4.0
127,10.5
128,5.5
129,6.0
130,5.0
131,3.0
132,2.5
133,5.5
134,3.0
135,4.5
136,2.0
137,4.5
138,5.0
139,4.0
140,3.0
141,3.5
142,10.0
143,3.0
144,1.5
145,3.5
146,9.0
147,4.0
148,4.0
149,6.5
150,4.0
151,4.5
152,3.0
153,2.5
154,3.0
155,3.5
156,2.0
157,5.0
158,12.0
159,5.5
160,4.0
161,5.0
162,6.5
163,4.5
164,10.0
165,12.0
166,3.5
167,4.5
168,3.0
169,7.5
170,7.5
171,3.0
172,4.5
173,3.5
174,4.5
175,4.5
176,4.0
177,6.5
178,3.5
179,2.5
180,2.5
181,4.5
182,12.0
183,5.0
184,4.5
185,7.0
186,6.0
187,12.0
188,6.0
189,12.0
190,3.0
191,4.5
192,12.0
193,1.5
194,4.0
195,2.5
196,3.0
197,3.5
198,3.0
199,8.0
200,1.5
201,1.5
202,6.0
203,12.0
204,2.5
205,5.5
206,4.0
207,2.0
208,12.0
209,4.5
210,4.0
211,3.0
212,6.0
213,5.5
214,4.5
215,4.0
216,3.5
217,3.5
218,10.5
219,2.0
220,4.5
221,12.0
222,3.5
223,6.5
224,3.0
225,3.0
226,12.0
227,3.5
228,4.5
229,4.5
230,4.0
231,2.0
232,4.0
233,5.5
234,4.5
235,3.5
236,3.0
237,12.0
238,2.5
239,2.5
240,1.5
241,5.0
242,4.0
243,3.0
244,7.0
245,5.0
246,4.5
247,6.0
248,4.0
249,12.0
250,1.5
251,3.0
252,4.5
253,4.0
254,3.5
255,4.5
256,5.0
257,2.5
258,10.0
259,4.0
260,5.5
261,12.0
262,5.5
263,4.5
264,4.5
265,7.5
266,9.0
267,2.0
268,8.5
269,10.5
270,2.5
271,12.0
272,5.5
273,2.5
274,5.5
275,2.5
276,12.0
277,4.5
278,3.0
279,3.0
280,12.0
281,2.5
282,3.0
283,4.5
284,12.0
285,4.0
286,6.0
287,2.0
288,3.0
289,4.5
290,4.0
291,5.5
292,2.5
293,4.0
294,5.0
295,4.0
296,2.5
297,4.5
298,3.0
299,5.0
300,3.5
301,1.0
302,5.0
303,4.0
304,1.0
305,5.0
306,5.0
307,4.0
308,5.0
309,3.5
